policy,param,utility,mean_bytes,traffic,seed,source,backend,majority_class,B_emb_mean,info
confidence,q=0.875,0.7629,42.3804,0.875,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9998
confidence,q=0.917,0.8046,44.3862,0.9167,1,fashion_mnist,torch,0,48.2799,umbral_confianza=0.9999
confidence,q=0.958,0.8462,46.3611,0.9583,1,fashion_mnist,torch,0,48.2799,umbral_confianza=1.0000
confidence,q=1.000,0.8879,48.2799,1.0,1,fashion_mnist,torch,0,48.2799,umbral_confianza=1.0000
elu_threshold,q=0.000,0.1,0.0,0.0,1,fashion_mnist,torch,0,48.2799,
elu_threshold,q=0.042,0.1417,1.9194,0.0417,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020712
elu_threshold,q=0.083,0.1833,3.8947,0.0833,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020711
elu_threshold,q=0.125,0.225,5.9044,0.125,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020709
elu_threshold,q=0.167,0.2667,7.9354,0.1667,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020704
elu_threshold,q=0.208,0.3082,9.9782,0.2083,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020696
elu_threshold,q=0.250,0.3499,12.0212,0.25,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020680
elu_threshold,q=0.292,0.3916,14.0675,0.2917,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020655
elu_threshold,q=0.333,0.4331,16.1025,0.3333,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020610
elu_threshold,q=0.375,0.474,18.136,0.375,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020536
elu_threshold,q=0.417,0.5148,20.1695,0.4167,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020430
elu_threshold,q=0.458,0.5554,22.1822,0.4583,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020267
elu_threshold,q=0.500,0.5965,24.1999,0.5,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.020032
elu_threshold,q=0.542,0.637,26.2185,0.5417,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.019678
elu_threshold,q=0.583,0.6768,28.2394,0.5833,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.019213
elu_threshold,q=0.625,0.7145,30.2652,0.625,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.018563
elu_threshold,q=0.667,0.7504,32.2915,0.6667,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.017625
elu_threshold,q=0.708,0.785,34.3108,0.7083,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.016463
elu_threshold,q=0.750,0.8174,36.3321,0.75,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.014871
elu_threshold,q=0.792,0.8442,38.3526,0.7917,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.013119
elu_threshold,q=0.833,0.8704,40.3699,0.8333,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.011089
elu_threshold,q=0.875,0.8875,42.382,0.875,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.007264
elu_threshold,q=0.917,0.8883,44.3494,0.9167,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.000000
elu_threshold,q=0.958,0.8879,46.3101,0.9583,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.000000
elu_threshold,q=1.000,0.8879,48.2799,1.0,1,fashion_mnist,torch,0,48.2799,lambda_implicito=0.000000
oracle,DU_true>0,0.9084,39.1263,0.8084,1,fashion_mnist,torch,0,48.2799,
always_original,,0.8874,511.7515,1.0,2,fashion_mnist,torch,0,49.6591,
always_embedding,,0.8933,49.6591,1.0,2,fashion_mnist,torch,0,49.6591,
always_label,,0.8907,21.0,1.0,2,fashion_mnist,torch,0,49.6591,
never_silence,,0.1,0.0,0.0,2,fashion_mnist,torch,0,49.6591,
confidence,q=0.000,0.1,0.0,0.0,2,fashion_mnist,torch,0,49.6591,
confidence,q=0.042,0.113,2.0887,0.0417,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.5023
confidence,q=0.083,0.1294,4.1734,0.0833,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.5681
confidence,q=0.125,0.1474,6.2635,0.125,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.6373
confidence,q=0.167,0.168,8.3544,0.1667,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.7021
confidence,q=0.208,0.1909,10.4402,0.2083,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.7662
confidence,q=0.250,0.2185,12.5299,0.25,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.8179
confidence,q=0.292,0.2467,14.623,0.2917,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.8607
confidence,q=0.333,0.2775,16.7083,0.3333,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.8919
confidence,q=0.375,0.3088,18.8011,0.375,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9190
confidence,q=0.417,0.3415,20.893,0.4167,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9403
confidence,q=0.458,0.3751,22.9811,0.4583,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9571
confidence,q=0.500,0.4083,25.0675,0.5,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9696
confidence,q=0.542,0.4427,27.1527,0.5417,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9792
confidence,q=0.583,0.4807,29.2285,0.5833,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9864
confidence,q=0.625,0.5203,31.2973,0.625,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9913
confidence,q=0.667,0.5608,33.3697,0.6667,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9946
confidence,q=0.708,0.6021,35.4398,0.7083,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9965
confidence,q=0.750,0.6434,37.5131,0.75,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9979
confidence,q=0.792,0.6851,39.5805,0.7917,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9988
confidence,q=0.833,0.7266,41.6146,0.8333,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9994
confidence,q=0.875,0.7683,43.6454,0.875,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9998
confidence,q=0.917,0.81,45.6523,0.9167,2,fashion_mnist,torch,0,49.6591,umbral_confianza=0.9999
confidence,q=0.958,0.8516,47.6463,0.9583,2,fashion_mnist,torch,0,49.6591,umbral_confianza=1.0000
confidence,q=1.000,0.8933,49.6591,1.0,2,fashion_mnist,torch,0,49.6591,umbral_confianza=1.0000
elu_threshold,q=0.000,0.1,0.0,0.0,2,fashion_mnist,torch,0,49.6591,
elu_threshold,q=0.042,0.1417,2.0135,0.0417,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.020137
elu_threshold,q=0.083,0.1833,4.0077,0.0833,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.020136
elu_threshold,q=0.125,0.225,6.0144,0.125,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.020132
elu_threshold,q=0.167,0.2667,8.0459,0.1667,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.020124
elu_threshold,q=0.208,0.3082,10.0805,0.2083,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.020111
elu_threshold,q=0.250,0.3499,12.1478,0.25,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.020092
elu_threshold,q=0.292,0.3914,14.2229,0.2917,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.020063
elu_threshold,q=0.333,0.4327,16.2953,0.3333,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.020019
elu_threshold,q=0.375,0.474,18.3649,0.375,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.019941
elu_threshold,q=0.417,0.5151,20.4353,0.4167,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.019828
elu_threshold,q=0.458,0.556,22.5059,0.4583,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.019645
elu_threshold,q=0.500,0.5964,24.5866,0.5,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.019386
elu_threshold,q=0.542,0.6369,26.6764,0.5417,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.019017
elu_threshold,q=0.583,0.6769,28.7597,0.5833,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.018495
elu_threshold,q=0.625,0.716,30.8544,0.625,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.017798
elu_threshold,q=0.667,0.752,32.9507,0.6667,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.016889
elu_threshold,q=0.708,0.786,35.0404,0.7083,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.015628
elu_threshold,q=0.750,0.8182,37.1363,0.75,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.014053
elu_threshold,q=0.792,0.8467,39.2358,0.7917,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.012380
elu_threshold,q=0.833,0.872,41.3301,0.8333,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.010528
elu_threshold,q=0.875,0.8902,43.4252,0.875,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.007648
elu_threshold,q=0.917,0.8931,45.4955,0.9167,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.000000
elu_threshold,q=0.958,0.8928,47.5749,0.9583,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.000000
elu_threshold,q=1.000,0.8933,49.6591,1.0,2,fashion_mnist,torch,0,49.6591,lambda_implicito=0.000000
oracle,DU_true>0,0.9134,40.3172,0.8134,2,fashion_mnist,torch,0,49.6591,
